feature,mean_abs_shap_value
Protein_OHE_433,0.0021877466
Protein_OHE_352,0.0021737712
Protein_OHE_26,0.0021581962
Protein_OHE_546,0.0021571731
Protein_OHE_762,0.0021533761
Protein_OHE_103,0.0021508448
Protein_OHE_77,0.002143264
Protein_OHE_188,0.0021414626
MACCS_138,0.0021302244
Protein_OHE_174,0.0021256236
TTF_1449,0.0021197519
Protein_OHE_276,0.002119361
Protein_OHE_298,0.0021052086
TTF_1563,0.0021042314
Protein_OHE_215,0.0020999382
TTF_1350,0.0020906765
Protein_OHE_282,0.0020864848
MACCS_76,0.0020785045
TTF_1053,0.0020784675
Protein_OHE_347,0.002078215
TTF_618,0.0020762973
Protein_OHE_64,0.0020683738
Protein_OHE_157,0.0020638334
Protein_OHE_321,0.0020550713
Protein_OHE_707,0.0020531914
Protein_OHE_934,0.0020492896
Protein_OHE_979,0.0020492144
Protein_OHE_34,0.0020430682
TTF_29,0.0020414412
MACCS_139,0.0020412307
TTF_322,0.0020315857
TTF_485,0.0020313836
Protein_OHE_262,0.0020265707
Protein_OHE_247,0.002025644
TTF_1003,0.002017891
Protein_OHE_376,0.0020137213
TTF_669,0.0020121974
Protein_OHE_144,0.0020088314
MACCS_41,0.0020057678
TTF_1893,0.0019985728
Protein_OHE_566,0.0019938173
TTF_761,0.001976502
Protein_OHE_696,0.0019756784
MACCS_81,0.001959781
TTF_1965,0.0019554466
TTF_377,0.0019431202
MACCS_58,0.0019407489
Protein_OHE_477,0.001938329
Protein_OHE_579,0.0019332453
TTF_277,0.001932692
Protein_OHE_273,0.0019318106
Protein_OHE_829,0.0019241892
Protein_OHE_778,0.0019182737
TTF_709,0.0018967552
Protein_OHE_932,0.0018920309
Protein_OHE_488,0.0018918703
Protein_OHE_973,0.0018865507
TTF_1285,0.0018827032
TTF_1950,0.0018803224
TTF_873,0.001879158
Protein_OHE_445,0.0018767962
Protein_OHE_129,0.0018755557
Protein_OHE_142,0.0018709336
Protein_OHE_737,0.0018590296
Protein_OHE_978,0.0018575237
Protein_OHE_702,0.0018573106
Protein_OHE_146,0.0018525801
MACCS_156,0.0018519025
Protein_OHE_968,0.0018473073
Protein_OHE_701,0.0018464623
Protein_OHE_530,0.0018422405
Protein_OHE_558,0.0018405147
Protein_OHE_820,0.0018395716
Protein_OHE_501,0.001838307
Protein_OHE_187,0.0018367756
Protein_OHE_536,0.0018308748
TTF_278,0.0018307483
TTF_1765,0.0018280734
Protein_OHE_435,0.0018279087
Protein_OHE_594,0.0018264572
Protein_OHE_180,0.0018212519
TTF_1416,0.001819115
Protein_OHE_929,0.0018114062
Protein_OHE_225,0.0018066403
TTF_1955,0.0018056919
TTF_1233,0.0018004819
Protein_OHE_989,0.001795396
MACCS_159,0.0017880995
TTF_745,0.001788058
MACCS_33,0.0017709729
Protein_OHE_44,0.001770188
TTF_157,0.001764886
MACCS_162,0.0017483437
Protein_OHE_964,0.0017467772
Protein_OHE_46,0.0017464514
Protein_OHE_177,0.0017452305
TTF_181,0.0017446926
Protein_OHE_880,0.0017441813
Protein_OHE_896,0.0017436686
Protein_OHE_209,0.0017419268
Protein_OHE_99,0.0017404881
Protein_OHE_412,0.0017397363
Protein_OHE_570,0.0017273036
TTF_1937,0.0017184091
MACCS_157,0.0017172244
TTF_1825,0.0017085464
Protein_OHE_814,0.0017079551
TTF_321,0.0016992618
Protein_OHE_169,0.0016778046
TTF_410,0.0016749431
Protein_OHE_790,0.0016708109
TTF_1485,0.0016673654
Protein_OHE_266,0.0016601613
Protein_OHE_816,0.0016581175
Protein_OHE_97,0.0016556203
TTF_234,0.0016551748
TTF_146,0.0016480193
MACCS_119,0.0016399231
Protein_OHE_760,0.0016360153
MACCS_80,0.0016339119
TTF_1429,0.0016338521
Protein_OHE_154,0.0016315213
TTF_764,0.0016271985
TTF_1157,0.0016230603
Protein_OHE_764,0.0016179279
Protein_OHE_397,0.0016168968
MACCS_63,0.0016152465
TTF_1097,0.0016147728
TTF_437,0.0016144993
TTF_1381,0.0016123598
TTF_1217,0.0016029798
Protein_OHE_624,0.001602138
Protein_OHE_421,0.0016017706
Protein_OHE_479,0.0015999655
TTF_693,0.0015991216
MACCS_151,0.0015988296
TTF_1385,0.0015933344
Protein_OHE_296,0.0015865298
MACCS_75,0.0015843749
TTF_61,0.0015843668
Protein_OHE_868,0.0015810602
Protein_OHE_563,0.001572929
TTF_1841,0.0015710578
TTF_1353,0.0015675287
Protein_OHE_53,0.0015608211
Protein_OHE_797,0.0015555208
TTF_1461,0.0015535244
MACCS_110,0.0015490016
Protein_OHE_358,0.001548049
TTF_925,0.0015436201
Protein_OHE_478,0.0015406278
TTF_1742,0.0015400808
MACCS_165,0.0015393923
TTF_1153,0.0015363946
Protein_OHE_698,0.001536004
Protein_OHE_333,0.0015352574
Protein_OHE_161,0.0015286932
Protein_OHE_442,0.001527922
Protein_OHE_705,0.0015175075
TTF_1298,0.0015133616
Protein_OHE_632,0.0015130981
Protein_OHE_564,0.001510051
TTF_1318,0.0015079215
Protein_OHE_712,0.0014988437
TTF_1434,0.001497426
Protein_OHE_84,0.0014921982
Protein_OHE_810,0.0014875559
Protein_OHE_803,0.0014854593
Protein_OHE_110,0.0014817079
TTF_438,0.0014804892
Protein_OHE_591,0.001475942
TTF_1717,0.0014753509
Protein_OHE_456,0.0014745074
Protein_OHE_289,0.0014733088
Protein_OHE_426,0.0014731635
TTF_1870,0.0014729844
Protein_OHE_554,0.001465447
TTF_558,0.0014639149
TTF_1369,0.0014630021
MACCS_127,0.0014625099
Protein_OHE_122,0.0014618227
TTF_2009,0.0014592065
